source,reference,hypothesis
"""आज राती के छ"" उपकरणका लागि नयाँ मिति चयन गर्न यो बटन थिच्नुहोस् । याद गर्नुहोस् कि मुख्य सञ्झ्यालको मिति परिवर्तन गरिएको छैन ।","Press this button to select a new date for the ""What's Up Tonight"" tool. Note that the date of the main window is not changed.","Press this button to select a new date for the ""What's Tonight"" tool. Note that the date of the main window has not been changed."
ඇයි මෙතන ඉදගෙන ඉන්නේ?,Why are you sitting here?,Why are you sitting here?
ඔයා කිව්වෙ මට සේවකයෙක් කියලද?,Did you just call me your fucking butler?,Did you call me a servant?
එයා කාටවත් මේක කිව්වේ නැද්ද කියලා දැනගත්තම මමම ඒ දෙන්නව මරන්න්ම්,"Once I confirm she hasn't told anyone else about this, I will kill them myself.",I'll kill them myself if I find out he didn't tell anyone.
"මම හිතන්නේ ඔයා පරාද වෙයි, කොල්ලෝ.","I think you might be lost, boy.","I think you're gonna lose, boy."
ඔයා විතරක් නෙවයි ලොතරැයියක් දිනලා∙ සල්ලි වලින් ඇති වැඩක් නැ කියලා හිතපු එකම එක්කෙනා∙,You are not the first lottery winner to believe the money's brought nothing but trouble. It's in your head.,"You're not the only one who won a lottery, the only one who thought money wasn't good enough."
ඒත් ඇයි?,But why?,But why?
සමාවෙන්න ශ්‍රෙක් මහතා?,"Excuse me, Mr Shrek?","Excuse me, Mr. Shrek?"
"අපි මේක ගෙදර ගෙනියනවා, ඊටපස්සෙ අපි ජාන පරීක්ෂණාගාරයට යනවා ඔහුගෙ රෝගලක්ෂණ තහවුරු කරන එකට.","We are taking this home, and then we're going to the genetics lab which confirmed his diagnosis.","We're gonna take this home, then we're gonna go to the genetic lab to confirm his diagnosis."
"ඔබ නියමෙට සෙල්ලම් කලා නියමයි, සුජාන් සිංග්.","You're a good player as well, Sujan Singh.","You played great, Suzanne Singh."
සෙන් වුවන් කන්දෙ සටන වගේ... මුළුමනින්ම සන්සුන්.,- Battle of San Juan Hill cool as a cucumber.,Like the battle of Mount Zen... completely calm.
पृष्ठको केन्द्रमा,Center on page:,Center of page
हालको कागजात दृश्य बन्द गर्नुहोस्,Close the current document view,Close current document view
ඒක ඇත්තටම ගොඩක් ෙහාදයි ඔයා කාටවත් ෙනාකියන එක,It's probably best that you don't tell anyone,It's really nice that you didn't tell anyone.
"දැන් මට යතුර දෙන්න, මම යනව.","Now give me the key, I'm leaving.","Now give me the keys, I'm leaving."
මගේ පාද සොලවන්න බැහැ.,I can't move my leg.,I can't move my legs.
වෙඩි තැබීමෙන් බියගන්වනවා.,Gunfire is terrifying.,Scare me by shooting.
ප්‍රොෆෙසර් බෝරා ව.,"Thank you. Chitti, meet professor Bora.",Professor Bora.
මේ ජරාව දැන් ඉවර වෙනව!,This shit ends now!,This shit is over now!
මම අදත් තනියම ඉන්නෙ. මම ගොඩක් බයෙන් හිටපුදේ සිද්දවුනා - ආදරය!,I was alone even today,"I'm still alone today, and what I was so afraid of has happened, love!"
මට ඕන දේ සිහි කරන්න. මන්ද...,♪ Remember what I wanted,Remember what I want.
මං උබව මරණවා.,Be honest or I'll kill you.,I'll kill you.
මොනවද කියන්නේ ?,What are you saying?,What do you say?
සරල විද්‍යාවනෙ.,It's simple science.,Simple science.
අපිට මෙතනට උදව් කරන්න!,We some help over here!,Help us here!
මට සතුටුයි ඔයා මෙහෙ ආව එක ගැන∙,"Well, I'm glad you're here.",I'm glad you came here.
ඔයා එයාල ලඟට ගියොත්.,If you can reach 'em.,If you go to them.
වෙන හැම කෙනෙක්ම එක කරනවා...,Everybody else is doing...,Everybody else is doing it.
ඔයා දන්නවද එයාව ඔවුන්ට කවාදාවත් හොයාගන්න බෑ,I imagine that you learned about the robbery he'd perpetrated after you infiltrated the cartel.,"You know, they can't even find him."
"මම එවන්නම්,ඔයා ලෑස්ති ෙවන්න ඔයා එන්න.","I'll send him, you get ready. Come.","I'll send, you get ready. You come."
ඔයාට ඕන මාව ෂන්කරාබරනම් වලින් නාවන්නද?,Do you want me to bathe in Shankarabaranam?,Do you want to bathe me in Shankarabarnam?
මේ බිත්තිවලට.,- And these walls.,To these walls.
ඒකේ කිසි තේරුමක් නෑ.,"I need that shoe, to have a child.",It doesn't make any sense.
ඔයාට දෙන්න දෙයක්.,Got something for you.,Something for you.
මං කැමතියි ඔයා ඒක හදාගන්නවනම්.,I just need you to make that adjustment.,I want you to fix it.
"ඔයා ලැනාගෙන් අෑත් වෙලා හිටියොත් , ඔයාට තේරයි ක්ලෝයි ඔයාට කැමතියි කියලා∙","Maybe if you took off your Lana blinders, you'd realize Chloe likes you.","If you stay away from Lana, you'll know that Chloe likes you."
මට අනින්න.,Stick me.,Hit me.
- ඇය ආපහු ඒක කරනවා.,- She's doing it again.,- She's doing it again.
ඩහරාන් ළමුන්ට බය කියදුන්න. ශතවර්ෂ ගාණනක් ඉඳන් එයාලා එකිනෙකා බයකලා කඳවුරු වල එළිමහන් ගිනිගොඩවල් වටා ඉඳගෙන ලේ වැගිරීමට ආශා කල සත්වයන්ගෙ කතාන්දරත් එක්ක.,"For centuries, they've frightened each other around campfires with tales of the creature's bloodlust.",Tell the Daharani children that for centuries they have feared each other with stories of animals who sat around outdoor camp fires and desired to shed blood.
මට මේවට වෙලාවක් නෑ.,I haven't got time for this.,I don't have time for this.
මම තව පාරක් ඒවා දිහා බලන්නම් මම නිදාගන්න යන්න කලින්.,I will take another look at it before I go to bed.,I'll take another look at them before I go to bed.
जडान पछि डिजिटल फोटोग्राफ आयात गर्नुहोस्,_Import digital photographs when connected,Import Digital Photographs After Connection
මේක හරිම ලේසි වැඩක්.,It's pretty simple. We'll use them as human shields.,This is a very easy job.
ඒක හැමවෙලේම අමාරුයි.,That's always really hard.,It's always hard.
ස්ථාපනයෙන් තොරව ලුබුන්ටු අත්හදා බලන්න (_T),^Try Lubuntu without installing,Try Lubuntu without installation (_T)
තව වයින් ටිකක්!,More wine!,Some more wine!
එයාල පහලට ආවේ ඔයාව එක්කගෙන යන්න.,What? They were supposed to come down earlier and get you.,They came down to take you.
ඔයා ඒක දන්නවා.,- By yourself? Yes.,You know that.
ඔයාට ඒක ලැෙබන්න ඕෙන්,You got it.,You need to hang it.
මම ඇයට කරන්න කැමති දේවල් කීපයක් මතක් කළ හැකියි.,I can think of a few things I'd like to do to her.,I can remind her of a few things I'd like to do.
"කුඩා විෂ සහිත උල් පිටතට විදිනවා, ඔයාගෙ ඉලක්කය උදාසීන කරමින්.","A small poisonous dart flies out, neutralizing your target.","Small poisonous mushrooms popping out, neutralizing your target."
උගන්ඩාවෙ ඇති මෙම වනයෙ විශේෂත්වයක් ඇත.,But there's something special about this stretch of forest in Uganda.,This forest in Uganda is unique.
"නීතිය කඩනවා වෙනුවට, ඔයාට පුළුවන් ඔයාගේ වැඩ වලට රජයේ ආධාර ලබාගන්න.","Instead of breaking the law, you could get federal funding for your project.","Instead of breaking the law, you can get government funding for your work."
එකමෙ එක පණයි.,Just that one soul.,Only one is alive.
फेड समय,Fade Time,Fed time
මම ඔයාවසොයාගත්තා !,I've found you!,I found you!
අපි කතාකර කර උන්නනේ පැයක් විතර වගේ.,"We were talking for, like, at least an hour.",We talked for about an hour.
විදුලි එලි වලින් පරිස්සම් වෙලා ඉන්න.,Beware of the lights.,Watch out for the lights.
"නෑ, එපා, එපා.","No, no, no.","No, no, no."
"ඒත් එයා මගෙ පවුලෙ දේවල් වලටයි අත දැම්මෙ, මගෙ පවුලට අත දැම්මොත් මොනවද ෙවන්ෙන කියලා එයා දැන ගන්න ඕෙන.","He interfered in my family matter, he must know what will happen if he interferes in my family.","But he touched my family stuff, and if he touched my family, he should know what it's like."
මේ කට්ටියට උණුසුම් ඇඳුම් ටිකක් දෙන්න.,Get these guys some warm clothes.,Give these guys some warm clothes.
මට කණගාටුයි වෙදෝ අවාසනාවන්තකමට තොප්පියට සල්ලි දාපු හොඳ මිනිස්සුන්ගෙනුත් දුරින් ඉන්නවෙන්නෙ උඹට.,"Now, I'm sorry Doc's bad fortune has to be taken out on you good people.",I'm sorry you have to stay away from the good guys who unfortunately invested in your hat.
මේකෙ පහල මනුස්සයෙක් ඉන්නව කියලනම් විශ්වාසයි.,Sure is humid down here.,I'm sure there's a man down here.
"එතකොට ගැඹුරුම ඇස් බැන්දුම, අඩුම තරමෙ, මට, වෙන්නෙ හරියටම මෙතන ගෙවෙන මේ මොහොත.","And the deepest one, for me, at least, is this moment right here.","And the deepest eye contact, at least, for me, is right here in this moment."
මොනාද බෑග් එකේ තිබ්බෙ?,"No, sir, a green one.",What was in the bag?
මොකක්ද සිත්ගන්නාසුළු?,What's so interesting?,What's interesting?
"නියම සැලැස්ම, හැබැයි මම දොස්තර කෙනෙක් නෙවෙයි.","Great plan, except I'm not a doctor.","Great plan, but I'm not a doctor."
"මට සමාවෙන්න, මට අඳුරගන්න බැරිවුනා.","I'm sorry, I didn't recognize you.","I'm sorry, I didn't recognize you."
වගකියන්න ඕන කවුරැහරි කෙනෙක්... .,Blame it on someone else....,Someone who should be responsible...
මට ඔයා නැතිව පාලුයි .,I'm missing you.,I miss you.
"පාරේ ලේ පැතිරිලා ගලායනකොට වාසනාව පාදා ගන්නා අකාරය. ඒ වගේම ඉක්මණටම නිව්යෝර්ක් පාරවත් වල. විශාල වශයෙන් රුධිරය පැතිරියාවී, නැද්ද?","Fortunes are made when there's blood on the streets, and very soon there's gonna be a great deal of blood on the streets of New York, won't there?","That's how you get lucky when the blood flows in the streets, and soon on the streets of New York."
ඇයගෙන් අහකට වෙනවා .,Get away from her!,Get away from her.
- Pippin! - ඔහොම ඉන්න.,- Steady on.,- Pippin!
"අනේ, බේරගන්න, බේරගන්න, අපි ඒක කරන්නම්.","We'll do it, we'll do it. Save me, please. Save me!","Please, save, save, we'll do it."
මම ඔබේ හදවත කපලා එළියට ගන්නවා.,I'll cut your heart out.,I'll cut your heart out.
පුනවාර්තන දිනය සාවද්‍ය වේ,Recurrence date is invalid,The Renaissance date is false.
"මං ජාලයට සම්බන්ධ වෙලා, නොම්මරේ හොයන්න හැදුවා,","I went online, reverse-traced the number, and voila': there was Fibonacci's exact location.","I connected to the network, tried to find the number,"
फाइल लेख्न असफल भयो ।,Failed to write file.,Failed to write file.
फन्ट चयन गर्नुहोस्QShortcut,Print selection,Select Font
"මෙතන කොළ චට්නී කකා හිටියොත්""","Forget the green chutney""",If only there were a green chatney here.
මේක නම් නියමයි,This is amazing.,This is awesome.
එයාලා අර පෙළපාලියට යන්නේ.,It's parade day.,They're going to that parade.
සතුටු වෙන්න ඒක පාටියක් ශ්‍රෙක් ..,"But happy. It's a party, Shrek.","It's a party, Shrek."
"බබ්ලූ, ඒක ගියා බන්.","Bablu, It's gone.","Bubble, it's gone."
"ඔව්, වෙන්න පුලුවන්.","Yeah, maybe.","Yeah, maybe."
ඔයාගේ පසුම්බිය ගන්න.,Get your wallet. ..,Get your wallet.
මේක අපේ මුහුණු උඩ පුපුරන්න යන්නෙ IWANNAROCKAND ROLLALLKNIGHT විකාශය වූ දිනය : 2008 නොවැම්බර් 12,This is going to blow up in our faces.,"This is going to explode on our faces the day IWANNAROCKAND ROLLALLKNIGHT aired: November 12, 2008"
පස්සට වෙනව!,Back up!,Back off!
"කඩවසම්, තරුණ පොලිස් නිලධාරියෙක්?","Handsome, young policeman?","Beautiful, young police officer?"
"ඒක නිවාඩුවක් විතරයි, ඒත්...","I know it was like a vacation from our real life, but...","It's just a vacation, but..."
अझ सम्म सिर्जना गरिएको छैन।,Pot file created at: %1,Not created yet.
අපි ඇයව අත්-අඩංගුවට ගන්නවා∙,We'll arrest her.,We're arresting her.
කතා කරාම වැටෙනවා.,Falling as we speak.,I'm falling when I talk.
त्यसै माथि लेखिएको फाईल?,Overwrite File?,The file written above?
- ඔයා වැරදිනම්?,- What if you're wrong?,What if you're wrong?
..මිශ්‍ර කරනවා.,...velaga fruit in tamarind..,..mixing.
"ඒ තොරතුරු ටික අරන්, එයාව මරල දැම්මම... ...උංට බිලියන ගානක් හොයන්න පුළුවන් වැරදි පාරෙන්.",If they access his research and kill him it could be worth billions in the wrong hands.,"If they take that information and kill him, they could find billions in the wrong way."
- ඒ ගුරුත්වයයි.,"""It's gravity.""",- It's gravity.
वर्णनात्मक तथ्याङ्क,_Descriptive Statistics,Descriptive Data
කොහෙද මේ හැමෝම ගියේ?,Where is everybody?,Where did all these people go?
"සාමවෙන්න. මට ඔයාගෙ සහයොකයෝ ටිකක් ගන්න උනා,","I had to borrow some of your minions, but it was for a worthy cause.","I had to pick up some of your associates,"
`%s' तरिकाले कुनै खोल्ने वस्तु प्रदान गर्दैन,method `%s' provides no opener,`%s' method does not provide any opening object
"ප්‍රෂ්නෙ උබ ගන්නවනම්, මට වැඩක් නෑ.",She looked right at me. - I know what that means. I still got it.,"The question is if you take it, I don't care."
"""ඡීවත්වන්නේ කුණු දූවිලි සමග වුවද""",Though we live with dirt our minds are clean.,"""Even with the dust of the garbage"""
තව දෙයක් තියෙනවා,One more thing,There's something else.
"හොඳයි, පොඩ්ඩක් ඉන්න බලන්න එයා ඉන්වද කියලා.","Well, I'll just see if he's available.","Well, wait a minute and see if he's in."
"එයාලා විනාශ වනෙවා, වැරදි වනෙවා",They destroy. They corrupt.,"They'll be destroyed, they'll be wrong."
මම ඉන්නම් ඔයා එක්කම..,I'll stay with you ...,I'll stay with you..
මට ඒකෙන් වැඩක් නෑ. ඔයා උත්සාහ කලේ ඔවුන්ව Caradhras මාර්ගයෙන් එක්ක යන්නනේ.,"I care not. So, Gandalf, you tried to lead them over Caradhras.","I don't care, you tried to lead them through the Caradhras."
"එයා හොඳින් හදාපු කෙනෙක් වගේ, සත්තු ඇති කරන කෙනෙක්.","'Cause he looks like a purebred, probably from a breeder.",He's like a well-groomed animal breeder.
लिब्गडालाई जिमोड्युल चाहिन्छ। सकिदै...,libgda needs GModule. Finishing...,LibDoc needs a gimmodule.
ඔයා නිකම්ම බලාගෙන හිටියා?,And you lust kept looking?,You were just waiting?
එකපාරටම හැමොම් ඒකට කැමතියි.,Suddenly everybody likes that one.,Suddenly everyone likes it.
මොන මගුලක්ද මේ?,What is this?,What the hell is this?
"..මේක පැහැදිලි නැත්තම්, ඒක ඔයාගේ ඇස් ඉස්සරහම පුපුරලා යයි.","...and if this doesn't clear, it will explode on or faces.","..if this isn't clear, it'll explode in front of your eyes."
ඒක ඔයාගේ නළල තරම් ලොකු නැහැ.,That's not as big as your forehead.,It's not as big as your cheeks.
"""ඒ දේවල් ඒවමයි"" - - ඒකනම් පැටලිලි සහගත විදිහක්.","""The thing itself""-- that's a weird way to put it.","""These things are the same"" - that's a confusing way."
ලෝක් කිව්වා නැවේ අය එන්නේ චාර්ලට් ව බේරාගෙන අපිව මරන්න කියලා,Locke said the people on the ship were coming to rescue Charlotte and kill us.,Locke said the ships are coming to save Charlotte and kill us.
-මං දන්නවා ඔයා හිතන්නේ මොකක්ද කියලා∙ මං ඇත්තටම නරකයි∙,- I know what you're thinking. I suck.,- I know what you're thinking.
ඔයාගෙ මතකයන්ද?,Your memory? What do you remember?,Your memory?
සර් මට තව කාලයක් ඕන. ඇයි?,Sir give me an extension sir Why?,"Sir, I need more time."
"ඒක ජර්මි ලොපෙස්ට සමාන නැහැ, iඇලෙක්ස් විල්සන්ට සමානත් නැහැ.","It doesn't match Jeremy Lopez, it doesn't match Alex Wilson.","It's not the same as Jeremy Lopez, and I'm not the same as Alex Wilson."
FBI අපිව කාමරයක් ඇතුලට දාලා පැය 12 තිස්සෙ ප්‍රශ්න අහයි,The FBI will stick us in a room and ask questions for 12 hours.,The FBI put us in a room and interrogated us for 12 hours.
च्यानल मिश्रण...,Channel Mi_xer...,Channel Mix...
ඒත් ඒ දවස ගිහින් දැන් ගොඩක් කල්.,For the love of some spineless woman.,But that day is long gone.
"සමාවෙන්න, මොකක්ද කිව්වෙ?","Sorry, what was that?","I'm sorry, what did you say?"
", කිසි ප්‍රශ්නයක් නෑ..",Then I have no problem..,It's okay.
%s खोल्न असफल,Failed to open %s,Failed to open %s
අපි හිතමු එයා වැරදියට හිතාගෙන ඉන්නේ කියලා.,"Well, just hope she's wrong about that.",Let's assume he's misunderstood.
කේතාංකය මොනවටද?,Cipher for what?,Code for what?
"මේ තමයි ඩෙවෝන්, අපේ ප්‍රධාන ආකර්ශනය.","That's Devon, our main attraction.","This is Devon, our main attraction."
"නන්දුට මම හුගක් කැමතියි බන්, එයා හැම වෙලේම සතුටින් ඉන්න ඕනේ. ඇය සතුටින් ඉදියි,මොකද උනේ.","i like nandu a lot, she should always be happy she will be happy,what happened?","I love Nandu so much, he should always be happy."
අපි පිටත් වෙන වෙලාව ඔයාලට දැනුම් දෙන්නම් අපි ඔබලාව දැනුවත් කරනවා පිටත් වෙන වේලාවන්. ගුවන් ගමන් අංක 1019 මයාමි වලට... ..,We will be updating you with the departure time of flight 1019 with service to Miami...,"We'll let you know when we leave, and we'll let you know when we leave."
"කෑ ගහන්න එපා, කව්දෝ එනවා.",Somebody's coming.,"Don't scream, someone's coming."
උබට ඕකට ගවනේන වේවි!,You will pay for this!,You're gonna need it!
වැඩේ ඉක්මන් කරන්න.,"Like, step on it.",Hurry up.
කොන්ත්‍රාක්තු වැඩට සමු දෙන්න.,Say goodbye to contract work.,Say goodbye to the contract work.
ඒ වගේ දෙයක් තමයි.,More like that.,Something like that.
सूची नाम: First letter in 'Center',Set the Time,List name: First letter in 'Center'
"හරි, හරි, කමක් නෑ.","Okay, okay, all right.","Okay, okay, it's okay."
- මගේ ඩසෝක් එක අරගන්න.,- Take my desk!,- Get my doc.
स्ट्रोक थप्नुहोस्,Add Stroke,Add Stroke
"ඔතන්න, ඔතලා කබඩ් එකක් ඇතුලට දාන්න.",Chop him up. Wrap him.,"Wrap it up, put it in a closet."
මට ඉඩදෙන්න.,Allow me.,Let me.
චාර්ලි උඹ දන්නවද..,"Charlie, do you know..","Charlie, you know.."
- කියන්න එපා ලෑස්ති නෑ කියලා!,- Don't give me unprepared!,- Don't tell me you're not ready!
මොනවාහරි හම්බුනොත් කෝල් කරන්නම්,"I'll call you when I got something, OK?",I'll call you if I find anything.
කොහොමද අපේ ගෙදර ?,How is this home?,How's our house?
तपाईँ सबै विच्छेदन बिन्दुहरू मेट्न चाहनुहुन्छ ?,Are you sure you want to delete all the breakpoints?,Do you want to delete all disconnect points?
ඒක අනිත් පැත්ත වෙන්න ඇති.,It's just backwards.,It must be the other way around.
कलहरूको इतिहाससँग परामर्श लिनुहोस्,Consult the call history,Consult the history of calls
"මට තේරෙනවා ඔයාට තේරෙන්නේ නෑ මොකක් කරන්නද කියලා, ඒත් මේකෙදිත් මං පරදුවට තියන්න ඕන.","I get you don't know where to turn, but I got a stake in this, too.","I understand you don't know what to do, but I'm willing to risk this too."
"මම හිතන්නෙ ඔයා ප්‍රචාරය කරපු තරමටම දක්ෂයි, ෆ්‍රෑන්ක්.","I guess you're as good as advertised, Frank.","I think you're just as smart as you advertised, Frank."
උන් ප්‍රංශෙ එක්ක මත්ද්ව්‍ය ගණුදෙනු කරනවා!,They deal drugs with the French!,They're dealing drugs with France!
"එන්න, එයා අපේ පස්සෙන් එනවා.","Come on, he's on us!","Come on, he's following us."
"මැඩම්, අපි කිසිදෙයක් දන්නෙ නෑ.","Madam, we can't do anything.","Ma'am, we know nothing."
चयनित वर्ण प्रदर्शनक्रममा देखाइने पाठ,The text to display in order to demonstrate the selected font,Text to be displayed in the selected character display
ඒක ඇත්ත නෙවෙයි.,That is not the true.,It's not true.
මම කිව්වා... මම කොහොමද ඒ වගේ කතාවක් විශ්වාස කරන්නේ කියලා?,And I said... how can I believe such a story?,I said... how can I believe a story like that?
-ප්‍රශ්නයක් නෑ ∙,- No problem.,- It's okay.
මොකද කියනවා නම්,The thing is..,Why should I?
මෙහෙට දියං.,Give it to me.,Give it here.
ඔබ සුදානම් ද?,- Are you ready?,Are you ready?
"තාත්තේ, ඔයා විශ්වවිද්‍යාලෙ ගියෙ නෑ.","Dad, you didn't go to college.","Dad, you didn't go to college."
එතකොට මට පුළුවන් එයා මොකද්ද මැකුවේ කියලා බලන්න?,So I can see what he trashed?,So I can see what he erased?
මාව තදින් බඳාගෙන ආදරෙයි කියන්න..,Give me a tight hug and tell me that you love me,Hold me tight and love me..
ඔයා ඒ මොකක් කියලද හිතන්නේ?,What do you think it was?,What do you think it is?
- හොඳය.,- Fine.,- Good.
"- ඩැනී, මොනාද අප්පා.","- Danny, come on.","- Danny, what the hell."
එහෙම නැත්තම් මම...,Or I'm going to get...,Or I...
මෙම මගේ මුහුණ සඳහා ලොකු ද?,Are these too big for my face?,Is this big for my face?
"හේයි, මචන්!","Hey, poes!","Hey, man!"
උඹ මැරෙන්න බයද?,Are you scared of dying?,Are you afraid to die?
මම හිතන්නේමේක තමා ෙවලාව,I guess this is the part,I think this is the time.
තවම කිසිම දෙයක් නෑ.,- We got a code 23.,Nothing yet.
"හොදයි, මොනවද මට කියන්න පුළුවන්?","Well, what can I say?","Well, what can I say?"
මෝනා එයාට මහන්සියි පියා,mona she's tired pia..,"Mona, she's tired, Dad."
ෆ්රෙයිඩා ෆෙල්චර්.,Fraida Felcher.,Freida Felcher.
අද මට අඩන්න දෙන්න.,Let me cry today.,Let me cry today.
මගේ නිවාඩු කොලේ මැඩම් සයින් කලා දැන් කොල්ලා නිදහස් ඔයාගෙත් හරිද,Has Rajjo got the application signed from his madam?,"Madam signed my vacation paper. Now the boy's free, right?"
මේකනේඔයාලට කම්පාවක් ඇති වෙන්න පුලුවන්.,This may surprise you and even shock you.,This could be a shock to you.
"පාළම උඩදි අනතුරක් සිදුවෙලා තියෙනවා ඔයාගේ පුතයි, ලකේස්ගේ කාර් එකයි ගැටිමෙන්∙",There was an incident involving your son and Lex's Porsche and a bridge.,There's been an accident on the bridge with your son and Lex's car.
"ඒ මනුස්සයා හොරෙක් , Michael;",You can't be serious.,"That man is a thief, Michael;"
ඔයා හීනයක් තුල තව හීනයකට ඇතුලු වෙනකොට බලපෑම සංයුක්තයි.,"And when you enter a dream within that dream, the effect is compounded.","When you enter a dream into another dream, the effect is composite."
ජීවිතය කියන්නේ චාරිකාවක්∙ මට ඒක මාර්ග සිතියමක් උපයේගි කරගෙන යන්න සාර්ථක කරගන්න ඕන නෑ∙,Life's a journey. I don't want to go through it following a road map.,Life is a journey. I don't want it to be a roadmap to succeed.
ඊළඟ සැරේවත් හරි එකේ නගින්න බලපන් උඹටත්,Make sure you check the next time.,"Next time, get on it, too."
යන්න මල්ලි.,Buzz off.,"Go, bro."
මට ඒ සේරම ඕනා.,I want all of it.,I want it all.
सबै कार्यस्थान,all workspaces,All workspaces
", මුහුදෙ දිප්තිය?","""The sea of sparkles""?",", the sea glow?"
මොනවද මගහැරුනෙ?,What's missing?,What's missing?
ඉක්මනට එන්න..,Come quickly.,Come on.
"කොහොමද, බී නැන්දේ?","Hi, Aunt Bea.","How are you, Aunt B?"
पूर्वानिर्धारित फोल्डर,Download normally,Default folder
चयन गरिएको रङ योजना स्थापना गर्न सकिँदैन ।,The location of the file cannot be accessed.,Cannot install the selected color scheme.
"♪ ""ඇයගේ දෑතින් ඇය ක්‍රිෂ්නාව සරසවයි."" ♪","""..and her beautiful arms, she will adorn Krishna.""","""In her hands she adorned Krishna."""
ओकुलर टिफ लाइब्रेरीComment,Okular TIFF Library,Ocular Tief Library
මෙවලම් ක්‍රියාComment,Device Actions,Tools Action
එයා අපිව තව ටිකෙන් මරලා දානවා.,He almost got us killed.,He's about to kill us.
ඇම්බර්ලි සහ තවත් කෙල්ලෙක්.,Amberle and another girl.,Amberly and another girl.
"""මොකක්ද පින්ඩරිස්ලාගෙ විශේෂත්වය?",'What is the greatest thing for a Pindari?,"""What's so special about Pindaris?"
"-ජුලියට් 64,අමතන්න.","Juliet 64, come in. Over.","- Juliet 64, come in."
මමත් ඔබව විශ්වාස කරන්නම්.,I will trust you.,I'll trust you too.
මට ට්‍රේවිස් ට ඒක කරන්න ඉඩ දෙන්න බැරි උනා.,I could not let Travis do that.,I couldn't let Travis do it.
ඔයා බීලා හිටියෙ.,You were drunk.,You were drunk.
ඔයාගේ අත්දෙක ඔලුවෙන් තියාගෙන අනික් පැත්ත හැරෙනවා.,Put your hands on your head and turn around.,Keep your hands off your head and turn around.
आईडीबाट लेख तान्नुहोस्...,& Fetch Article with ID...,Drag text from ID...
पोतिने ब्रुसName,Deform brush,Nephew Bruce
මම බය වුණා දවසක මම කාටහරි මොකක් හරි කරයි කියලා.,I'm afraid one day I am going to hurt someone.,I was afraid one day I'd do something to someone.
हरेक पङ्क्तिको लागि स्केलहरुको साइन साटासाट गर्नुहोस्,Alternate the sign of scales for each row,Exchange sign of scales for each row
"හොබ්ස් ගෙ කාර්යාලයේ, පොතක් තියෙනවා.",In Hobbes' office is a book.,"In Hobbs' office, there's a book."
මම ඔයාව ගන්න එන්නම් මීජා.,"I'll be there when you land, mija.","I'll pick you up, Meja."
මගේ ගමන ඉවර නැහැ.,I am not destined to lose.,My journey is not over.
ඔයා මොනාද මෙහේ කරන්නේ ?,You're a little early.,What are you doing here?
नयाँ संस्करण थप्न सकिदैन ।,A new version could not be added,Cannot add new version.
सेन्ट. लुसि कन्ट्री अन्तराट्रिय विमानस्थल,St. Lucie County International Airport,St. Lucie Country Interstate Airport
"- මේක පෞද්ගලික දෙයක්, ඔයාගෙ අත අහකට ගන්න.",That is private. Keep your sticky paws off.,- This is personal. Get your hand off me.
"ක්‍රිස්, ඔයා ඒ නිකමව අමතක කරන්න ඕනෙ","Chris, you need to forget that punk.","Chris, you should just forget about it."
"බලන්න, මම අවුරුදු 14ක් තිස්සෙ උගන්වලා තියෙනවා, ඒ කවදාවත් මට ඔයා තරම් ආකර්ෂණීය ශිෂ්‍යයෙක් හමුවෙලා නෑ.","Look, I've been teaching for more than 14 years, and I've never had a student as impressive as you.","Look, I've been teaching for 14 years, and I've never met a student as impressive as you."
ඔව් ! ඔහු කිව්වා,"Yes, he did.","Yes, he said."
ඊයේ මධ්‍යම රැයට කිට්ටු වදේදී,"Late last night,",Near midnight last night.
ඔයා හිතන්නේ මම දන්නේ නෑ කියලද?,You didn't think I'd know?,You think I don't know?
මම අහල තියෙනව ඔයා ගැන.,I've heard about you.,I've heard of you.
එන්න∙ අර එහාපැත්තෙන් පේන එළිය ලූතර්ගේ නිවසෝ∙∙∙,"Come on. Those lights are over at the Luthor house, just down the road.","Come on. That light over there, Luther's house..."
ග්‍රහලෝකෙන් ග්‍රහලෝකෙට යනවා...,They're moving from planet to planet.,Moving from planet to planet...
ඌ ගොළුවෙක්.,He is a dumb.,He's dumb.
මේක පරිසමාප්තිය වේවි.,This will be the denouement.,This is gonna be a big deal.
"ඇබට් ලඟ එයාගේ හැඳුනුම්පත තියෙනවා කියලා හිතනවා නම්, ඔයාට පුළුවන් එයාව හොයා ගන්න. හොඳම දේ තමයි ඔයා ඒක කරනකොට මම එතන ඉන්න එක.","Assuming Abbott still has her ID, you can find her, and it's best I'm there when you do.","If you think Abbott has his ID, you can find him."
එයා කෙල්ලොන්ට බයේ දුවන්නෙ නෑ.,He doesn't run away from girls,He's not afraid of girls.
එයාල තවමත් කතා බහ කරනවද?,Are they still deliberating?,Are they still talking?
ගෙරාඩ් මහත්මයා එක වචනයක්වත් කිව්වෙ නෑ,Mr. Gerrard never says a word.,Mr. Gerard didn't say a word.
දැන් A සැලැස්ම හරි නොගියොත් අපි එහෙන් එද්දි පෘථිවියේ මිනිස්සු මැරිල ඉඳයි.,"Okay, Plan A does not work, if the people on Earth are dead by the time we pull it off.","If Plan A doesn't work now, Earth's people will be dead by the time we get there."
इभोल्युसन पुन: सुरुआत गर्दै,Request a running Evolution process to quit,Restarting Evolution
