source,reference,hypothesis
තාත්ත... එයාට කැමති නෑ.,Dad... doesn't like him.,Tata... nu-i place.
අන්න ගේට්ටු අංක තුන.,There's gate no.3.,Üç numaralı kapı var.
මම තැගි මිලටගන්නෙ ඔයාලගෙ මිනිසුන්ගෙ හදවත දිනාගන්න.,I'm buying gifts to make a place in your people's hearts.,Compraré regalos para ganar el corazón de vuestros hombres.
මං දැක්ක හැම චලනයක්ම හරියටම හරි ඒත් මං කවදාවත් දැකල නැහැ ඔයාට වරදිනවා.,"I see obsess getting each and every move perfectly right, but I never see you lose yourself.","Am văzut toate mişcările exact bune, dar nu te-am văzut niciodată condamnându-te."
- ඔයා කරපු වැරැද්ද මොකක්ද?,-What'd you do wrong?,- Ce greşeală ai făcut?
පේන හැටියට අපි වැඩේ කරා!,Looks like we made it!,Φαίνεται ότι τα καταφέραμε!
"""මේ අසම්පූර්ණ කතාව ...""","""These incomplete stories...""","""Αυτή είναι η ατελή ιστορία""..."
ඉතින් ආපහු ගිහින් ඔහුව ගමු.,So let's back him up.,Aşa că să ne întoarcem să-l găsim.
කොහොමද ?,- He was afraid of heights.,كيف حالك ؟
"අපි දැන් නිදා ගන්නවා, හෙ අපි ගිහින් හොයාගමු බට්න් එබෙවේ නැති වුනාම මොකද වෙන්නේ කියල.","And we're gonna get a good night's sleep, and tomorrow, we're gonna find out what happens if that button doesn't get pushed.","Nos vamos a dormir ahora, mañana iremos a ver qué pasa cuando se pierde un botón en ese camino."
"එයා ගැන දන්න ඔයාගේ යාලුවාගෙන්, අයරිස්.","Your friends who know him some questions, iris.","Ştii despre el de la prietenul tău, Iris."
මාව එක්තරා විදිහකට පුදුමයට පත් කරවනවා ඇත්තටම පස්ස පැත්තේ මොකක්ද සිද්ද වෙන්නේ කියල.,Makes me kind of wonder what exactly is going on back there.,Mă surprinde într-un fel ce se întâmplă cu adevărat în spate.
බලපන් මේක ඇත්තටම කරපු මිනිහා දිහා.,Look at the person that really did this.,Uită-te la omul care a făcut asta.
පිපිඥඥාවලින් ඇස් වහගන්න,You close eyes with cucumbers. Close it.,Κλείσε τα μάτια σου από την γνώση.
प्रभाव छवि:,_Effect image:,प्रभाव छवि:
ස්ක්‍රැන්ටන් වල මිනිහෙක් කොඩියක් උස්සන් ඉඳියි තමන්ගෙ තණ පිටියෙ දිනපතා වහල්භාවය වෙනුවෙන්.,A man in Scranton is placing a flag in his lawn for every day of captivity.,Un bărbat din Scranton ridică un steag pe terenul său pentru sclavie.
මෙයා කියන්නේ ඇත්තද?,Your old man telling the truth?,Doğru mu söylüyor?
මොන විදිහකින් හරි අඩුම ගානේඅපිට ෙපාඩි අවසන් නිවේදනයක් දෙන යමක් තිෙයනවා,"Either way, at least we'll have a warning,","Într-un fel sau altul, cel puţin avem nevoie de ceva care să ne dea un ultim anunţ."
२४०० डीपीआई x १२०० डीपीआई,2400 DPI x 1200 DPI,2400 डीपीआई x 1200 डीपीआई
ඔයා ඇයව දන්නවද?,You know her?,هل تعرفها؟
फाइल/ यूआरएल खोल्नका लागि,Files/ URLs to open,फ़ाइल / यूआरएल खोलने के लिए
හනික යමන් පුතේ!,Light them cherries up!,Γρήγορα γιε μου!
අපි දෙන්න විතරනෙ ගෙදර ඉන්නෙ.,It's just us two.,Suntem doar noi doi acasă.
සුබ දවසක්.,"Bonjour, ma chérie.",Καλή μέρα.
ඒකට අපි දනේනවම අවශ්‍ය වුනා.,IT TOOK TWO OF US.,Pentru asta am avut nevoie de amândoi.
वस्तु सार्नुहोस्,Move Object,वस्तु को स्थानांतरित करें
"අනේ මචං, ඒක විතරමනෙ කරන්න ඉතුරැවෙලා තිබ්බෙ.",- He knew he was holding you back.,"Oye, amigo, eso es lo único que debería haber hecho."
මම එයාව එතරම්ම හොදට දන්නේ නැ,I really don't know her that well.,Je ne le connais pas si bien.
මම බලාපොරොත්තු වෙනවා ඇල්ගොරිතමයක් අදින්න... ඔවුන්ගේ චලනය අර්ථ දක්වන්න,I'm hoping to extract an algorithm... to define their movement.,"Надявам се да изработя алгоритъм, който да дефинира движението им."
ඔහු එන්ජින් එක විනාශ කරා ඒ වගේම ඔහුගේ නම කෙවින් ජොන්සන් නෙවේ,"He destroyed the ship's engine, and his name isn't Kevin Johnson.",El a distrus motorul şi numele lui nu e Kevin Johnson.
".... කාතෘත්වය කියා පාමින්, ආරක්ෂිතව.","... authenticated,safe.","Η κατάσταση είναι έτοιμη, ασφαλής."
අපිට සුවිශේෂ දේවලා කරන්න පුළුවන් වෙයි.,"Together, we'll do extraordinary things.",Θα μπορέσουμε να κάνουμε κάτι ιδιαίτερο.
මං දැන් යන්න ඕන පස්සේ හම්බවෙමු.,"So, catch you later.",Trebuie să plec acum. Ne vedem mai târziu.
මට දකින්න පුළුවන් ඔයාගේ cojones මේ ඇදුමින්.,I can see your cojones in that pantsuit.,"Vidím, jak se oblékáš."
'දූෂිත මිනිහෙක් මැරුණාම ඔහුගේ සේරම ඉවර වෙනවා',"'When a corrupt person dies, his rein ends.'","""Όταν ένας διεφθαρμένος άνθρωπος πεθαίνει, όλα του τελειώνουν""."
%s लोड गर्न सकेन: %s,Could not load %s: %s,%s yuklab boʻlmadi: %s
උදාහරණයක් විදියට ගරමොන්ඩ් බලන්න.,"Take Garamond, for example.","De exemplu, uită-te la Grammond."
මම ඒක තමයි දිගටම කලෝ.,I have been doing only that all along.,Eu am continuat să fac asta.
මට මතක් වුනා අපි යාලු වෙලා අවුරුද්දකට වැඩියි කියලා.,"Joe, help me out here. Sorry, partner.",Mi-am amintit că am fost prieteni mai mult de un an.
{\3cHFFFFFF\1cHFF0\fs\b3\an0}සතුටින් මත්වූ සැම දෙනා... .,Everyone here is on fire,Ευτυχισμένοι όλοι μαζί μου...
"හායි, මේ මම.",What are you doing? Hi! It's me!,"Здравей, това съм аз."
- මොකක් ගැනද?,- On what?,- Despre ce e vorba?
ඔව් ඔයාට දැනුණා.,You were.,"Ναι, το κατάλαβες."
सबै फाइलहरूdisc,All files,सभी फ़ाइलेंडिस्क
ලව් නේතන්සන් මැරිලා.,Lou Nathanson just died.,Love Nathanson a murit.
संवाद फ्रन्टइन्डलाई कम्तिमा १३ लाइन उचाइ र ३१ स्तम्भ चौडाइ भएको पर्दा आवश्यक हुन्छ ।,Dialog frontend requires a screen at least 13 lines tall and 31 columns wide.,संवाद फ्रंटइंडलाई में कम से कम 13 रेखाओं की ऊंचाई और 31 स्तंभों की चौड़ाई होनी चाहिए।
Vickers මෙනවිය.,"Yes, Miss Vickers.",Κυρία Βίκερς.
"මම කියන්න හැදුවේ ""Carlinville වලට සාදරයෙන් පිලිගන්නවා කියලා."" Dickham මහත්තයා මේ සිද්දිය උන උදේ ගත්ත ෆොටෝ.","- I WAS GONNA SAY: ""Welcome to caritonville"" - uh huh. As stated by Mr. Dickham, these pictures were taken in the morning of the incident...","Chciałem powiedzieć: ""Witajcie w Carlinville""."
මේක එයාගේ තුවක්කුව.ම‍ෙයා හැදුවේ මෙතන ඉන්න දෙන්නෙක්ට වෙඩිතියන්න.,It's his gun. He was going to shoot two people!,Αυτό είναι το όπλο του. Προσπαθώ να πυροβολήσω δύο από αυτούς εδώ.
අපි විද්‍යාඥයන්.,"No, we're scientists.",Είμαστε επιστήμονες.
नयाँ विस्तार थप्नुहोस्,& New Bookmark,नया विस्तार जोड़ें
කොහෙද කේට් හා ලමයි ටික?,Where's Kate and the kids?,Πού είναι η Κέιτ και τα παιδιά;
समय विस्तार,Time Propagation,समय विस्तार
खोज्नका लागि यहाँ स्ट्रिङ घुसाउनुहोस् ।,Insert here the string to search for.,Introduceţi strângerea aici ca să găsiţi .
අපි ගෙවල් නැති අයට කන්න දෙන්න ඔනේද?,I gotta feed the hobos?,"Πρέπει να ταΐσουμε εκείνους που δεν έχουν σπίτι, σωστά;"
"එන්ඩර් විගින්, ඔබව සැලමන්ඩර් හමුදාවට අනුයුක්ත කරනවා, සේනාපති බොන්සෝ මැඩ්රිඩ්. වහාම ක්‍රියාත්මක වන පරිදි.","Ender Wiggin, you are assigned to Salamander army, Commander Bonzo Madrid, effective immediately.","Εντερ Γουίγκιν, σας ανανέμνω στο στρατό του Σαλαμάντερ, Στρατηγέ Μπονσό Μαδρίτ."
"अगाडि जानुहोस् र पछि आउने शत्रुलाई धरापमा पार्नुहोस् । अब तपाईँको पछि झरेका शत्रुलाई हटाउनुहोस्, त्यसपछि, खन्नुहोस्, खन्नुहोस् र सबै शत्रुलाई नष्ट गर्नुहोस् । अब दायाँ जानुहोस् र बायाँ देखि दायाँ क्रमका सबै इट्टा र भर्याङ संरचना खाली गर्नुहोस् ।","Advance to the right and trap the oncoming enemies. Now retreat under the enemies who are falling behind you, then dig, dig, dig and kill all the enemies. Now go right and clear out all the brick and ladder structures in right-to-left order.","आगे बढ़ें और बाद में आने वाले शत्रुओं को धरापमा करें। अब अपने पीछे झरेका शत्रुओं को हटा दें, फिर, खनन करें, खनन करें और सभी शत्रुओं को नष्ट करें। अब दाईं ओर जाएं और बाईं से दाईं ओर क्रमशः सभी इट्टा और भरयांग संरचनाओं को खाली करें।"
- කොල්සන්... ඔයාලගේ මිනිස්සු තීරණ ගන්නේ තර්ක කරලා.,- Coulson... your people make decisions based on logic.,- Κολσον... οι άνθρωποι σας παίρνουν αποφάσεις με λογική.
- වෑන් එකෙන් බහිනවා.,- Get out of that van!,- Βγαίνω από το φορτηγάκι.
උඹ මොකක්ද කරන්නේ?,JEM: What'd you do?,Ne yapıyorsun sen?
"හරි, මේ ආවේගයන් නිසා නැවතත් ක්‍රියාවන් ආරම්භ උනොත්?","Okay, what if these impulses get triggered again?",¿Qué pasa si estas motivaciones vuelven a operar?
- අවකාශ කාලය වෙනස් වීමක්ද?,-Distorting spacetime?,- Zmiana czasu w przestrzeni?
ඔයා සමුගන්නේ වත් නැතුව යන්නද කල්පනාව?,"Thought you were leaving without saying goodbye, did you?",Ще си тръгнеш ли без да се сбогуваш?
"ඒක අගෞරව කිරීමක් නෙමෙයි, ඒක අගෞරවයක් තමයි.","That's not an insult, that's a fuckin' insult.","No es una falta de respeto, es una falta de respeto."
කාගෙද වරද ඒක ආ ෆ්‍රැන්සිස්?,"Yeah, and whose fault is that, huh, Francis?","Чия е грешка, Франсис?"
खुल्ला फोल्डर रद्दीटोकरीमा सार्नुहोस्,"Move the selected folder out of the trash to ""%s""",खुले फ़ोल्डर को कचरे में ले जाएं
"මගේ දැනුමේ හැටියට තවත් දින ඉතිරිව නැහැ,",She said there aren't many days left.,"Din câte ştiu eu, nu mai rămân zile."
"तपाईँले पहिल्यै अनुमान गरिएको अक्षर प्रयास गरेपछि ""पहिल्यै अनुमान गरिएको"" टूलटिप प्रर्दशन गर्नका लागि समय सेट गर्न सक्नुहुन्छ । पूर्वनिर्धारित १ सेकेन्ड छ तर साना केटाकेटीलाई पहिल्यै अनुमान गरिएको अक्षर बुझ्ने प्रयास गर्न केही लामो समय आवश्यक पर्न सक्दछ । NAME OF TRANSLATORS","You can set the time for displaying the ""Already Guessed"" tooltip after you tried a letter that was already guessed. Default is 1 second but younger children might need longer time to be able to understand they are trying a letter that was already guessed.","पहले से अनुमानित अक्षरों का प्रयास करने के बाद आप ""पहले अनुमानित"" टूलटिप प्रदर्शित करने के लिए समय सेट कर सकते हैं। पूर्वनिर्धारित 1 सेकंड है लेकिन छोटे बच्चे को पहले से अनुमानित अक्षरों को समझने की कोशिश करने के लिए कुछ लंबा समय लग सकता है।"
"ටෙඩි, අපිට කරදර ගොඩක් හම්බෙයි","Ted, it's insane, We could get in a lot of trouble.","Теди, няма да имаме много проблеми."
"तपाईँसँग ""%s"" नाम भएको प्रोफाइल पहिले नै छ","You already have a profile called ""%s""","आपके पास पहले से ही ""%s"" नाम का प्रोफ़ाइल है"
शनि ग्रह र चन्द्रमाको समुच्चित चित्र देखाउनुहोस्Image/ info menu item (should be translated),Show Collage of Saturn and moons,ਸ਼ਨੀ ਗ੍ਰਹਿ ਅਤੇ ਚੰਦਰਮਾ ਦੀ ਸਮੁੱਚੀ ਤਸਵੀਰ ਦਿਖਾਓ ਚਿੱਤਰ / ਜਾਣਕਾਰੀ ਮੀਨੂ ਆਈਟਮ (ਟ੍ਰਾਂਸਲੇਟ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ)
තවදුරටත් එහෙම නෑ.,Not anymore.,Nu mai e aşa.
"හෙයි, මට තවත් මේක අවශ්‍ය නැහැ.","HEY, LOOK, I DON'T WANT THIS NO MORE.","Hei, nu mai am nevoie de asta."
ඒ වගේමං ඔට්ටු අල්ලනවා ඔයාගේ බඩ තදවෙලා නේ තිබ්බේ ඒ මුළු වෙලාවේම ?,And I bet your stomach was in knots the whole time?,Και βάζω στοίχημα ότι το στομάχι σου ήταν στεναχωρημένο όλο αυτό το διάστημα;
केटका लागि प्रतिगमन परिक्षक,Regression tester for kate,केटक के लिए प्रतिगमन परीक्षक
සමෙින් ඩ්‍රයිව් කරන්න∙,You could drive slower.,Să conduc în timp ce...
रचना तान्दै,Refetch lyrics,रचना तान्दै
අර්මාන් කපූර්ගේ අවසන් ගමන දැකබලා ගැනීමට මිනිසුන් දහස් ගණනක් පැමිණෙමින් සිටිනවා.,- Thousands have gathered on the streets to pay their last respects... - to beloved bollywood actor Armaan Kapoor...,Miles de personas vienen a ver el último viaje de Arman Kapoor.
ඒත් මගේ පුතා නම් එහෙමයි. ඔයාලා වගේ.,"But my son is enabled, like you.",Pero si mi hijo es así. Como ustedes.
"ඔයාට කණ්ඩායමේ සාමාජිකයෙක් වෙන්න බැරි නම්, ඔයා මෙහේ මොනවද කරන්නේ?","If you can't be a team player, then what are you doing here?","Si no puedes ser miembro del equipo, ¿qué haces aquí?"
ඒක තමයි මම මේ කරන්නෙ.,That's what I'm doing.,Eso es lo que estoy haciendo.
ඔයාට ඕන නෑ ඊස්ටර් හාවෙක් වෙන්න නේ?,"You don't want to be the Easter Bunny, right?","Δεν θέλεις να γίνεις πασχαλικός, έτσι δεν είναι;"
SHARK LAKE මෝර විල,SHARK LAKE,शार्क झील शार्क झील
"මම දක්ෂ කෙනෙක් වෙන්න පුලුවන්, ජෝ, ඒත් ඔයා මගෙන් අහනවා නම්","I might be a clever guy, joe, but if you're asking me","Poate că sunt talentată, Joe, dar dacă mă întrebi..."
"තුන්වෙනි කණ්ඩායම, ස්ථානගත වී ඉන්න!","Team 3, put your on the move!","Τρίτη ομάδα, μείνετε στη θέση σας!"
යනව .,Go on.,- Πάμε .
හොදම විදිහේ එකක්.,GIRL: The best sort.,Najlepszy sposób.
කර්ණාටක් සංගීතය!,Carnatic music!,Muzica din Karnataka!
"රොකට්, ඔයා බීලයි ඉන්නේ හරිද?","Rocket, you're drunk. All right?","Ракет, пиян си, нали?"
සමාවෙන්න බොස් ! බුරියානි එක හරියට පිපුරුනේ නෑ,Sorry boss biryani didn't blast properly!,"Συγνώμη αφεντικό , δεν είναι γεμάτο ."
මගේ ඇඟ උඩට මොකටද වැටුනේ?,What were you doing up there?,¿Por qué cayó en mi cuerpo?
එහෙනම් ඔබ කවදාවත් මරලා නැද්ද වෙනත් හේතුවකට?,So you've never killed for any other reason?,"Entonces, ¿nunca mataste por otra razón?"
මම තමයි පල්ලියට අලුතෙන් ආපු පියතුමා,Come I'm the new Father of your church,Soy el padre que ha vuelto a la iglesia.
මන්ද මේක සාමදනයකට වෙන්න ඔනේ,Hire a good lawyer.,Γιατί αυτό πρέπει να γίνει για ειρήνη .
"වැරදි දේවල් නෑ, ඔයා කියන්නේ එහෙම දෙයක් නම්","Nothing personal, if that's your concern.","No hay cosas equivocadas, lo dices si algo así"
ඔයාගෙ සාක්කුවල යකඩ මොනවහරි තියෙනවද? නෑ.,Do you have any metal in your pockets?,Masz coś żelaza w kieszeni?
ඒක තාමත් හිස්.,It's still vacant.,E încă gol.
මම ඇය ගැන සාරාංශ විස්තරයක් විතරයි තියාගෙන ඉන්නේ.,I held it against her only briefly.,Sólo tengo un resumen de su historia.
फोनोन जाइनComment,Phonon Xine,Телефонға кіруComment
"නමුත් ඔහු හොඳ කෙනෙක්, ඔහු ඔහුගේ කාලය හොඳට පාවිච්චි කළා. මම රෝහලේ බාගෙට මැරිලා ඇඳක් උඩ ඉන්න වෙලාවේ. ඔහු ලකුණු කිහිපයක් දිනා ගත්තා.",But he's a clever guy and he's used his time well while I was lying half-dead in hospital while I was lying half-dead in hospital to win some points.,"Pero es un buen hombre, ha usado bien su tiempo mientras yo estaba medio muerto en una cama en el hospital, y ha ganado algunos puntos."
ස්තූතිකරන්න මරියතුමියට ඇය විසින්ම.,Thank the Lord Mary herself.,Gracias a la Virgen María por ella misma.
"ඔහ්, එතකොට ඔයා තීරණය කළා එයාගෙ ගේ බිදල ඇතුළු වෙන්ඩ?","Oh, so you decided to break into his house?",Και αποφάσισες να μπεις στο τείχος του;
"ඔයාල ෆෙඩරල් විමර්ශන කාර්යාංශයට ඉල්ලුම් කලාම, ඔයාල හැමෝගෙන්ම ප්‍රශ්නයක් ඇහුව... ඇයි ඔයාලට FBI නියෝජිතයෙක් වෙන්න ඕනෙ?","When you applied to the Federal Bureau of Investigation, each of you was asked a question... why do you want to be an FBI agent?","Όταν έκανα αίτηση στο FBI, σας ρώτησα γιατί θέλετε να γίνετε πράκτορας του FBI;"
අපට සිදුවන්නේ ඇයට කොළුවාව දීම පමණි.,Not exactly true,Trebuie doar să-i dăm băiatul.
फ्रेमहरू विभाजन गर्नुहोस्: बचत सञ्चालन असफल भयो। आवश्यक बचत प्लगइनले प्रकारलाई ह्याण्डल गर्न सक्दैन वा आवश्यक बचत प्लगइन उपलब्ध छैन।,Split Frames: Save operation failed. desired save plugin can't handle type or desired save plugin not available.,ফ্রেমগুলি বিভক্ত করুনঃ সঞ্চয় অপারেশন ব্যর্থ হয়েছে। প্রয়োজনীয় সঞ্চয় প্লাগইনটি প্রকারটি পরিচালনা করতে পারে না বা প্রয়োজনীয় সঞ্চয় প্লাগইনটি উপলব্ধ নয়।
"..ඔයාව හමු වෙන එක ප්‍රමාද කරපු ඒ පොඩි ලමයම, ඒ වගේම. '","..of the lift and delayed me from reaching to you, similarly..'",Şi acel copil care a întârziat să-l întâlnească.
මොකද මටත් දැන් එයාට කෙලවන්න ඕන වගේ.,'Cause I kind of want to fuck him too now.,Çünkü ben de onu becermek istiyorum.
මම බොනී ඩයිනසෝරයෙක්.,I'm Bonnie's dinosaur.,Аз съм бони динозавър.
අපි ඔයාව ඇය ළගට ගෙනියන්නම්.,We'll take you to her.,Seni ona götüreceğiz.
प्रोफाइल xml समक्रमण गर्ने URI,File to syncronize the profile XML,प्रोफ़ाइल xml समक्रमण URI
බෙදිල ගිහින් බිම් මට්ටම පරීක්ෂාකරන්න.,Spread out and search the floor.,Du-te şi verifică nivelul terenului.
මම ඔයාත් එක්ක යන්න කැමතියි.,I like to walk with you.,Aş vrea să merg cu tine.
"ඔයාට ඕනෙ නම් ඔයාගේ පවුලට උදව් වෙන්න, එහෙනම් හොයාගමු කොහොමද මේක නතර කරන්නේ කියල.","You want to help your family, let's figure out how we stop this.","Si quieres ayudar a tu familia, entonces averigüemos cómo detener esto."
සර් මට විශ්වාස කරන්නත් බැහැ මං ඔයා ගාවනේ හිටියේ.,I was right next to you And now I'm in my house!,"Pane, nemůžu uvěřit, že jsem vás potřeboval."
ශරීර කුහරය.,Body cavity.,Το σωματικό κενό.
මට ඔයාගේ භීතියේ ඉව දැනෙනවා.,I could smell your fear.,Cítím tvůj strach.
"අපිට බැහැ, හරිද.","We can't, okay.","Δεν μπορούμε, εντάξει;"
ඔයාගේ මිනිස්සුන්ට කොහොමද?,How your men holding up?,Πώς είναι οι δικοί σου;
නියම ගෙයක්,Nice house.,Harika bir ev.
"හොඳයි ළමයා, මං ගොඩක් කැමතියි ""ප්‍රවීණ"" කියන වචනයට.","Well Junebug I really prefer the word ""experienced"".","Bueno, muchacho, me gusta mucho la palabra ""experto""."
සමීරා මට තියෙන ප්‍රශ්න හොඳටම ඇති,"Sameera, I'm already neck deep in problems.","Samira, am destul de multe întrebări."
. මං දැනුයි කෑවෙ.,- It's just over...,- Tocmai am mâncat.
අන් සියලු පිළිබඳ බැහැර කිරීම ?,To the exclusion of all else?,Het uitschakelen van alle andere zaken ?
මරණය පරාජය කිරීම වෙනුවෙන්.,To breaking the chain.,Pentru a învinge moartea.
සදාචාරය කියන්නේ මායාවක්.,Morality's an illusion.,Η ηθική είναι μια μαγεία.
නික් මස්සිනා කොහොමද?,How about Cousin Nick?,"Ник, как си?"
කවුරුවත් අහගෙන ඇති කියල හිතනවද?,Do you think anybody's listening?,"Myslíš, že to někdo slyšel?"
ඒ මධ්‍යස්ථානය තියෙන්නේ බලාගාරය යට හමුදා ආරක්ෂාව යටතේ.,The facility is hidden beneath the local power plant under military guard.,Το κέντρο είναι υπό την προστασία του στρατού.
"- මොකක්ද ඔයාගේ නම, පුතා?","- What's your name, son?","- Jak se jmenuješ, synu?"
මේ අසිපත නිර්මාණය කරලා තියෙන්නේ අපිට වෛර කරන මිනිසුන්ගෙන් අපිව ආරක්ෂා කිරීමටයි.,These swords were forged to defend us against the hatred of men.,"Ten miecz został stworzony, aby chronić nas przed ludźmi, którzy nas nienawidzą."
"ඔයාට කාවවත් විශ්වාස කරන්න බැරිනම්, ඔයාට මාව විශ්වාස කරන්න බැරිනම්... කරුණාකරලා...","If you can't trust anyone, if you can't trust me... please... don't do this.","Αν δεν μπορείς να πιστέψεις κανέναν, αν δεν μπορείς να με πιστέψεις... σε παρακαλώ..."
"පොලිසිය සම්බන්ධ උනොත්, ඇය මියයනවා.","No cops, or she's dead.","Ако полицията се свърже, тя ще умре."
සුරියා සර් ඔයාගේ චිත්‍රපටි ඔක්කෝම බලලා තියෙනවා.,"Surya sir, I've watched your movies. They're very good.","Süriya efendim, filmlerinizin hepsini izledim."
- ඒක ලින්ගුයිනිකරණය කියලා.,- its Linguini-ness.,- Že je to jazykování.
साइज औसत राख्नुहोस्,_Keep aspect ratio,आकार औसत रखें
आन्तरिक किनारा हटाउनुहोस्,Remove Internal Border,आंतरिक किनारे हटाएं
විදියක් නැහැ.,No way.,Nie ma mowy.
එහෙනම් ඇයි අපි බලං ඉන්නේ?,What are we waiting for then?,"Entonces, ¿por qué esperamos?"
फिल्टर% 1,Filter %1,Filtru% 1
"හොදයි, කවුරැවත් ඒ කාන්තාව වෙත යන්නේ නැතිනම්?","Well, what if no one goes for the blonde?","Bine, dacă cineva nu merge la acea femeie?"
මට මතකයි එයත් එක්ක එහෙම ගියපු හැටි චිත්‍ර ප්‍රදර්ශනයක් බලන්න ඒකට හුඟක් සතුටු උනා.,I remember being on the road with her and just watching the scenery flash by and feeling so happy.,Θυμάμαι πως πήγαμε να δούμε μια έκθεση ταινιών. Ήταν πολύ ευχάριστο.
මේ ඔබමද.,Look after yourself.,To ty sam.
प्रत्येक मिनेटमा,Every Minute,हर मिनट में
ඔයා අහගෙන සිටිය යුතුයි.,You must listen.,Trebuie să asculţi.
ඒවගේම මට ඒක ආරක්ෂා කරන්න ඕනෙ මොන දේ සිද්ධ වුණත්.,And I want to protect it at all costs.,Şi vreau să-l protejez orice s-ar întâmpla.
सेन्ट्री फायरवाल,Centri Firewall,सेंट्री फायरवाल
මං අපුරු පද්ධතියක් ඇතිකරනවා.,- I will create the perfect system.,Ben mükemmel bir sistem oluşturuyorum.
ඔයාගේ ඔක්කොම බඩු පෙට්ටිවල.,Your stuff is in boxes.,Všechny věci jsou v krabičkách.
"ඔයා නිවියොක් වලට කැමති වෙන්න යන්නේ, වොල්ට්∙ ඒ වගේ නගරයක් අයේ නෑ∙","You are gonna love New York, Walt.","Będziesz lubił New York, Walt. Nie ma już takiego miasta."
- ජනපදයට යන්න...,- to the colony...,-Πηγαίνετε στην πόλη...
කාවද උස්සන්නේ ? මොකටද උස්සනනේ ? ඒයි පිහිය අරගෙන ගිහින් අර නිල් පාට සල්වාර් එකක් දාගෙන යන කෙල්ලව මරනවා.,Here's the damn knife and there's the girl in the blue outfit.,Πάρτε το μαχαίρι και σκοτώστε την κοπέλα που φοράει μπλε σάλβερ.
තව පැය කීපයකටවත් මට පීටර්ගෙ සලාදයේ රස පරීක්ෂක වාර්තාව හම්බ වෙන්නෙ නැති වෙයි.,I won't get the test results back from Peter Talbott's salad for a couple of hours.,Σε λίγες ώρες δεν θα έχω την αναφορά για τη σαλάτα του Πίτερ.
ඇයි ඔයාල මාව පහුගිය අවුරුදු දෙකේදි අල්ලගත්තෙ නැත්තෙ?,Why don't you catch me up on the last two years?,De ce nu m-aţi prins în ultimii doi ani?
"ඩාමොදාර් මහත්තයා, මට දැඩිව සමාවනේන මැදිහත්වීමගැන.","Mr. Damodar, I am extremely sorry for the inconvenience.","Domnule Damodar, îmi cer scuze pentru intervenţie."
සල්ලි ආපහු දෙනවාද නැද්ද බලන්න.,This is the only debt I'll be repaying.,"Sprawdź, czy oddajesz pieniądze czy nie."
खाली CD घुसाउनुहोस्,Insert a blank CD,खाली सीडी डालें
"ඔබ බුබුලු දමන නාන බදුන්ක නෑව, රසවත් ආහාර කෑව, පැයක් පමන නිදාගත්තා, ඔබටම කියල හෙලුවැලි ප්‍රතිමවක් පත්කරගත්තා.","You took a bubble bath, ate some toast, had a sleep for one hour, and commissioned a naked statue of your fine self.","Ai bătut-o, ai băut-o, ai mâncat mâncare delicioasă, ai dormit o oră, ţi-ai spus că ai făcut un tratament."
युनिकोड कोटी:,Unicode category:,यूनिकोड कोटीः
මේ මහ රෑ මොකද කරන්නෙ.,What do you mean at this hour?,¿Qué haces esta noche?
මම මීට වඩා තරුණ පාටයි හරිද?,I was much younger then,"Soy más joven, ¿de acuerdo?"
ඔහුටයි තවත් අලි පැටවු දෙන්නෙකුටයි අද තමයි කැලයට යන්න දවස.,It's graduation day for him and two other elephants,Él y otros dos elefantes van al bosque hoy.
"සේරම ඉවරයි, පොඩි චෙෆ්.","It's over, Little Chef.","Всичко свърши, малък шефе."
ලිමෝ ගැන හිතන්න එපා∙,Guess the limo's out.,Nu te mai gândi la asta.
"ඉතින් ඇය අනාරක්ෂාවෙන් සහ අවිස්වාසයෙන් පෙලුනා,",And then she felt unsafe.,"Así que ella se enamoró de la inseguridad y la incredulidad,"
ඒත් අපි දැන් මොකක්ද කරන්නේ?,But what is the position now?,Dar noi ce facem acum?
මොකද්ද ඉතිං ප්‍රශ්නය?,And what's the problem?,¿Cuál es el problema?
- එයාලා අපිට මයිකල්ව දුන්නා නම්...,- If they gave us Michael...,- Αν μας είχαν δώσει τον Μάικλ...
මේ මම ලිය ලිය ඉන්න අනාවරණයේ පුර්වදර්ශනයක්.,Here's a preview of the exposé that I am writing.,Aceasta este o prefacere a descoperirii pe care o scriu.
මම මහාචාර්යය කෙනෙක් නෙවෙයි කියලා හිතන්නෙ ඇයි?,What makes you think I'm not?,De ce crezi că nu sunt profesor?
- අයියෝ මගේ මොලේ අවුල් කරන්න එපා...,- Please don't chew my brains... - Son!,- Nu-mi deranja mintea...
"ඔහොම ඉන්න, අපි පාරේ පහළට යනවා දැන්.",Hang on. We're gonna move it down the road.,"Περίμενε, πάμε στο δρόμο τώρα."
"උතුමාණෙනි, අධ්‍යක්ෂක ක්‍රෙනික් ආවා.","My lord, Director Krennic... has arrived.","Μεγαλειότατε, ήρθε ο διευθυντής Κρένικ."
එක නැතිවෙලා තිබ්බෙ∙,It got out of hand.,Kaybolmuş olmalıydı.
"ඔව්,ඩොලර් මිලියන පහකටලුනේ... අපි එයාව දැක්කොත්...","Yeah, for five million... lf we see anything...","Da, pentru cinci milioane de dolari... dacă-l vedem..."
- අපි ඔයාව වටකරලා තියෙන්නේ.,- We have you surrounded.,- Obklopili jsme tě.
